image	tree	tool	empty_sectors	dirs	app_pvd	prep_pvd	app_svd	system_id
itsoftcd-39__ITSOFTCD_39.iso	joliet	CDEverywhere (sysid)	11	9		IT.SOFT		CDEVERYWHERE
itsoftcd-39__ITSOFTCD_39.iso	primary	CDEverywhere (sysid)	6	6		IT.SOFT		CDEVERYWHERE
itsoftcd-40__ITSOFTCD_40.iso	joliet	CDEverywhere (sysid)	13	11		ITSOFT		CDEVERYWHERE
itsoftcd-40__ITSOFTCD_40.iso	primary	CDEverywhere (sysid)	5	5		ITSOFT		CDEVERYWHERE
20220430-124202__HACKESP02.iso	joliet	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
Dmac1__Dmac_2007.iso	joliet	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
berlitz-chinese-japanese__TLCD.iso	joliet	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
cdrom-otacd-105__OTACD105.iso	joliet	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
chinese3__chinese3.iso	primary	Nero	1	1	NERO___BURNING_ROM		NERO___BURNING_ROM	
comdex-edu__Comdex_05.iso	primary	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
dvdrom-game.exe-2004-04__Game.EXE_04_2004_DVD.iso	joliet	Nero	2	2	NERO BURNING ROM		Nero Burning ROM	
eagle_drivers__EAGLE.iso	joliet	Nero	1	1	NERO - BURNING ROM		NERO - BURNING ROM	
hoffice-2004_202412__HOFFICE2004.iso	joliet	Nero	2	2	NERO___BURNING_ROM		NERO___BURNING_ROM	
hoffice-2004_202412__HOFFICE2004.mdf	joliet	Nero	2	2	NERO___BURNING_ROM		NERO___BURNING_ROM	
hoffice-2005__HOFFICE2005.iso	joliet	Nero	1	1	NERO_-_BURNING_ROM		NERO - BURNING ROM	
hoffice-2005__HOFFICE2005.mdf	joliet	Nero	1	1	NERO_-_BURNING_ROM		NERO - BURNING ROM	
laoguangpan.set.15__15_______854318908________2020_1__2020-01-31_____2020-01-26____VB___2000_CD000B.iso	primary	Nero	1	1	NERO - BURNING ROM		NERO - BURNING ROM	
pm-12-r__PM12R_CD2.img	primary	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
qq-2-no-hack____QQ2_NoHack.iso	primary	Nero	1	1	NERO BURNING ROM		Nero Burning ROM	
20250720_20250720_0559__________.iso	primary	Roxio/Adaptec	10	10	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
Anime_Transformer__DM_BXL2.iso	primary	Roxio/Adaptec	5	5	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
Anime_Transformer__DM_BXL3.iso	primary	Roxio/Adaptec	4	4	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
Anime_Transformer__DM_BXL4.iso	primary	Roxio/Adaptec	2	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
ChineseVocabularyFlashcard__eCard.iso	primary	Roxio/Adaptec	22	11	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
DriverColectionCangJianGeCHS1999______________.iso	primary	Roxio/Adaptec	39	39	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
GothicCht__TLF-GAME-10.09.02.Gothic.Chinese.Big5-TCGiSO-CD1-CHT.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
InfoCD20007__InfoCD2K07.iso	primary	Roxio/Adaptec	52	25	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
LD4Cht__LD4_INSTALL.iso	primary	Roxio/Adaptec	38	28	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
MillenniumCheckGame3__MILLENNIUM3.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
MillenniumCodeInstallationNo1CHSWarezCD2000______1_.iso	primary	Roxio/Adaptec	6	6	EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.0 (140) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
NewJinshanCompleteWorksCHSWarezCD2000________001202_1758.iso	primary	Roxio/Adaptec	4	3	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
OrientalDadianXPCHS2001__DfddXP.iso	primary	Roxio/Adaptec	1	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	
Peoples_General_Taiwan____________.iso	primary	Roxio/Adaptec	4	3	EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.		EASY CD CREATOR 4.1 (202) COPYRIGHT (C) 1996-1999 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
RCT1Chs__RCTEXP2.iso	primary	Roxio/Adaptec	2	2	EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (310) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
RT2TW__RT2TW.img	primary	Roxio/Adaptec	2	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
Sankokushi__PhotoGcd003.iso	primary	Roxio/Adaptec	2	2	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
SoulBringerCHS__SoulBringer2.iso	primary	Roxio/Adaptec	9	1	EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.		EASY CD CREATOR 4.2 (285) COPYRIGHT (C) 1996-2000 ADAPTEC, INC.	CD-RTOS CD-BRIDGE
